,KIC,Right Ascension,Declination,Magnitude in Kepler Band,RMSE,Average Epsilon,Epsilon/P_MAX,slope,slope/P_MAX,standard dev,standard dev/P_MAX,R2_LSP,Composite Function
43,2581626,292.70682,37.806011,14.998,0.073070843,0.003293414,0.059741542,4.55E-06,8.25E-05,0.000101864,0.001847782,0.999990676,f(t) = 1.004100 + 0.071900 * sin(2?? * 18.139700 * t + -2.440400) + 0.015700 * sin(2?? * 23.498500 * t + -0.000015) + 0.007800 * sin(2?? * 5.358700 * t + -1.669385)
44,2972514,286.68576,38.17025,14.031,0.183456193,-0.003158122,-0.012545008,-2.63E-06,-1.04E-05,0.00038326,0.001522424,0.999985011,f(t) = 0.950700 + 0.203100 * sin(2?? * 3.972300 * t + -1.057300) + 0.050800 * sin(2?? * 7.944600 * t + -0.000015) + 0.023300 * sin(2?? * 1.986300 * t + 0.848085)
45,3119295,292.05969,38.266869,14.268,0.140756382,0.006743131,0.030671806,5.76E-06,2.62E-05,0.000292994,0.001332713,0.999989397,f(t) = 0.969200 + 0.154500 * sin(2?? * 4.548600 * t + -0.679300) + 0.030100 * sin(2?? * 9.097200 * t + -0.000015) + 0.022600 * sin(2?? * 2.274400 * t + -1.700100)
46,3953144,291.1925,39.049492,14.673,0.280977593,0.00340515,0.033531193,1.04E-05,0.000102161,0.00132067,0.013004902,0.999867269,f(t) = 1.000100 + 0.007600 * sin(2?? * 9.847200 * t + -1.648985) + 0.003300 * sin(2?? * 15.111300 * t + -3.094485) + 0.001700 * sin(2?? * 18.337100 * t + -0.000015) + 0.001400 * sin(2?? * 9.057900 * t + -0.000015) + 0.001400 * sin(2?? * 15.511700 * t + -0.000015)
47,4036687,284.95593,39.14463,15.22,0.196140082,0.010038764,0.066975625,8.58E-05,0.000572195,0.000271948,0.001814355,0.999981959,f(t) = 0.987000 + 0.125400 * sin(2?? * 6.671700 * t + 0.000015)
48,4066203,293.87561,39.113762,14.052,0.138724337,0.001096511,0.006048903,2.79E-06,1.54E-05,0.00065942,0.00363769,0.99997872,f(t) = 1.000100 + 0.025800 * sin(2?? * 5.516500 * t + 1.589785) + 0.003500 * sin(2?? * 2.758600 * t + -2.696485)
49,4243668,285.52716,39.34726,14.656,0.30498448,0.00011126,0.000580944,-1.74E-05,-9.09E-05,0.001906385,0.009954189,0.999914986,f(t) = 0.999800 + 0.007300 * sin(2?? * 5.221500 * t + 2.492985) + 0.003000 * sin(2?? * 2.608200 * t + -0.000015)
50,4374279,293.96933,39.436089,14.583,0.164656436,-0.00752156,-0.044340348,-5.00E-06,-2.95E-05,0.000282427,0.001664935,0.999962847,f(t) = 0.994600 + 0.064100 * sin(2?? * 5.895100 * t + 2.454585)
51,4466691,292.27933,39.505081,14.348,0.243597205,-0.002365112,-0.009801734,0.000121398,0.00050311,0.000566298,0.002346909,0.999977242,f(t) = 0.992400 + 0.058100 * sin(2?? * 4.144300 * t + 0.000015) + 0.022700 * sin(2?? * 2.072000 * t + -2.361285) + 0.006200 * sin(2?? * 8.288000 * t + 0.165685)
52,4547067,286.95959,39.64114,14.671,0.123537384,0.007743062,0.03799598,5.46E-06,2.68E-05,0.000359654,0.001764858,0.999979871,f(t) = 0.999900 + 0.020000 * sin(2?? * 4.907100 * t + -0.000015) + 0.004300 * sin(2?? * 2.453500 * t + -0.183100)
53,4651526,290.7388,39.770802,14.754,0.262661476,-0.007508943,-0.050374495,6.69E-05,0.000449054,0.000665105,0.004461923,0.999945642,f(t) = 0.999300 + 0.045600 * sin(2?? * 6.708600 * t + 0.000015) + 0.007000 * sin(2?? * 3.340600 * t + 0.422285)
54,4995588,286.4946,40.146961,14.961,0.179241961,-0.000790233,-0.018767402,4.81E-06,0.00011427,0.000890573,0.021150396,0.999944653,f(t) = 1.000000 + 0.004400 * sin(2?? * 23.749200 * t + -0.333800) + 0.003200 * sin(2?? * 23.154500 * t + -0.871300)
55,5027750,295.99509,40.112518,14.775,0.446827328,0.004526458,0.053004371,-3.58E-05,-0.000419214,0.002990107,0.035013854,0.999994381,f(t) = 1.000000 + 0.002900 * sin(2?? * 11.709900 * t + -0.000015)
56,5284701,294.53641,40.446362,14.447,0.409175779,0.000429958,0.008312163,5.53E-06,0.000106827,0.002529366,0.048898968,0.999313788,f(t) = 1.000000 + 0.000900 * sin(2?? * 19.332500 * t + 0.540700) + 0.000900 * sin(2?? * 24.450100 * t + 0.000015) + 0.000500 * sin(2?? * 23.279200 * t + -1.059585)
57,5286485,295.00616,40.404041,14.824,0.096256705,0.001324139,0.013361622,5.91E-06,5.96E-05,0.0003111,0.003139248,0.999979539,f(t) = 1.000100 + 0.005700 * sin(2?? * 10.090800 * t + 0.000015) + 0.004900 * sin(2?? * 7.679000 * t + -0.000015)
58,5353653,289.06549,40.548512,15.131,0.226008362,0.008815686,0.047839202,6.91E-06,3.75E-05,0.000878104,0.004765119,0.999974733,f(t) = 1.000000 + 0.013100 * sin(2?? * 5.426600 * t + 1.233100) + 0.003000 * sin(2?? * 2.713600 * t + 0.000015)
59,5357882,290.35376,40.550961,14.694,0.211091634,0.002891713,0.014929047,2.00E-05,0.000103387,0.000597583,0.003085142,0.99996348,f(t) = 1.000200 + 0.033500 * sin(2?? * 5.162700 * t + 0.000015) + 0.004900 * sin(2?? * 2.531800 * t + -0.000015)
60,5534340,292.07117,40.715,14.645,0.406999514,-0.002138081,-0.012871034,9.18E-06,5.53E-05,0.01542184,0.092837937,0.999520843,f(t) = 1.000300 + 0.012700 * sin(2?? * 6.019900 * t + 2.863985) + 0.003100 * sin(2?? * 10.821400 * t + -3.016100) + 0.002100 * sin(2?? * 9.827500 * t + 2.222185) + 0.001800 * sin(2?? * 5.460800 * t + -0.000015) + 0.001500 * sin(2?? * 7.697100 * t + 0.441100)
61,5707205,292.35443,40.945759,14.34,0.186134979,-0.002839191,-0.027395354,1.59E-05,0.000153725,0.001365629,0.013176954,0.999917159,f(t) = 1.000100 + 0.004100 * sin(2?? * 9.649000 * t + -1.632885) + 0.004000 * sin(2?? * 10.959100 * t + 0.729985) + 0.001800 * sin(2?? * 16.390300 * t + -0.000015) + 0.001600 * sin(2?? * 13.046100 * t + -0.000015) + 0.001500 * sin(2?? * 8.800000 * t + -1.038900) + 0.001400 * sin(2?? * 13.602200 * t + -0.000015) + 0.001100 * sin(2?? * 10.604800 * t + -0.101700) + 0.000800 * sin(2?? * 8.318200 * t + 2.684000) + 0.000700 * sin(2?? * 13.908500 * t + -0.000015)
62,5788165,290.88074,41.06081,14.354,0.506787602,0.001998404,0.035720073,-1.18E-05,-0.000210917,0.001312667,0.023463004,0.998929047,f(t) = 1.000000 + 0.000900 * sin(2?? * 17.874300 * t + -0.000015)
63,6304420,297.05414,41.602089,14.392,0.237775159,-0.001004285,-0.018613719,1.66E-06,3.08E-05,0.001231343,0.022822081,0.999880867,f(t) = 1.000000 + 0.002100 * sin(2?? * 18.534300 * t + -2.146100) + 0.001500 * sin(2?? * 16.961700 * t + 2.641700)
64,6442207,291.58728,41.878208,15.478,0.176348268,-0.002053661,-0.009051922,-1.53E-07,-6.74E-07,0.000515466,0.002272019,0.99998325,f(t) = 0.976100 + 0.139700 * sin(2?? * 4.407700 * t + 0.000015) + 0.024900 * sin(2?? * 8.814900 * t + -0.000015) + 0.015900 * sin(2?? * 2.204000 * t + 1.414700)
65,6444630,292.41455,41.81065,14.561,0.213062368,-0.006713415,-0.040484578,-5.69E-06,-3.43E-05,0.000561026,0.003383211,0.999907368,f(t) = 1.000400 + 0.042600 * sin(2?? * 6.030400 * t + -1.565500) + 0.008200 * sin(2?? * 3.017800 * t + -0.000015)
66,6778487,292.15759,42.291168,14.85,0.120020277,0.006468833,0.032819624,4.95E-06,2.51E-05,0.000806745,0.004093021,0.999984919,f(t) = 0.994100 + 0.092700 * sin(2?? * 5.073500 * t + 0.453085)
67,6836820,281.43738,42.32869,14.46,0.12123833,-0.001528521,-0.00685022,7.88E-07,3.53E-06,0.000494041,0.002214094,0.9999898,f(t) = 0.973400 + 0.160200 * sin(2?? * 4.481600 * t + -2.593385) + 0.022500 * sin(2?? * 8.963500 * t + 0.501785)
68,6955650,293.93597,42.488461,14.24,0.099719248,0.010369786,0.039329487,8.90E-06,3.38E-05,0.000429705,0.001629742,0.99999147,f(t) = 0.997100 + 0.060700 * sin(2?? * 3.792700 * t + 1.724500) + 0.007900 * sin(2?? * 1.896000 * t + 2.461785)
69,7048016,295.77335,42.593712,14.024,0.426884547,0.000896712,0.014276283,1.19E-05,0.000190181,0.004053496,0.064534494,0.999368171,f(t) = 1.000000 + 0.002000 * sin(2?? * 15.920700 * t + 0.000015) + 0.001000 * sin(2?? * 19.902900 * t + 1.835200) + 0.000900 * sin(2?? * 18.116900 * t + -2.953585) + 0.000500 * sin(2?? * 20.352600 * t + -3.069585) + 0.000500 * sin(2?? * 20.720600 * t + 0.018900) + 0.000300 * sin(2?? * 17.604400 * t + -0.000015) + 0.000300 * sin(2?? * 10.319100 * t + 0.728985) + 0.000300 * sin(2?? * 10.749500 * t + -2.495800)
70,7124161,293.71469,42.61084,14.673,0.188881622,0.002198777,0.010304349,5.35E-06,2.51E-05,0.000723459,0.003390418,0.999937306,f(t) = 0.999900 + 0.027200 * sin(2?? * 4.686400 * t + 0.219185) + 0.007200 * sin(2?? * 2.343700 * t + -1.514585)
71,7347529,286.4968,42.95118,14.126,0.531459134,-0.012693962,-0.147860539,-0.000164955,-0.001921412,0.00488862,0.056943135,0.999814283,f(t) = 1.000400 + 0.006800 * sin(2?? * 11.648100 * t + 0.000015)
72,7521682,289.93637,43.157269,14.781,0.146317939,-0.008564342,-0.048031399,-6.11E-06,-3.43E-05,0.000594403,0.00333359,0.999975548,f(t) = 0.986300 + 0.117000 * sin(2?? * 5.608300 * t + 2.326185) + 0.014500 * sin(2?? * 11.216700 * t + -0.000015)
73,7601767,289.92361,43.219158,14.486,0.143325838,-0.003797465,-0.015604923,6.43E-05,0.000264054,0.000550226,0.002261044,0.999987308,f(t) = 0.984100 + 0.104000 * sin(2?? * 4.109300 * t + 0.000015) + 0.015200 * sin(2?? * 8.218100 * t + -0.000015)
74,7617649,294.77219,43.293789,14.634,0.132192022,0.001400221,0.00760152,9.61E-06,5.22E-05,0.000291196,0.001580845,0.999989389,f(t) = 0.970300 + 0.185300 * sin(2?? * 5.428800 * t + 1.784285) + 0.032700 * sin(2?? * 10.858100 * t + -0.000015)
75,7668283,286.07773,43.302872,14.565,0.100584521,0.008727104,0.032474427,1.27E-05,4.71E-05,0.000712627,0.002651756,0.999991025,f(t) = 1.001100 + 0.017600 * sin(2?? * 3.721100 * t + 1.440885) + 0.003600 * sin(2?? * 1.859900 * t + -0.000015) + 0.002000 * sin(2?? * 5.582300 * t + -0.524600)
76,7750215,290.81134,43.468979,14.323,0.38569196,0.000756443,0.012313984,3.43E-06,5.58E-05,0.003639544,0.059247409,0.999736327,f(t) = 1.000000 + 0.003200 * sin(2?? * 16.278800 * t + 0.000015)
77,7905603,296.4838,43.670799,14.35,0.31222847,-0.002044439,-0.037228416,0.000106025,0.001930673,0.000934454,0.017016034,0.999932464,f(t) = 1.000300 + 0.014100 * sin(2?? * 18.209600 * t + -0.000015) + 0.008500 * sin(2?? * 13.483000 * t + -0.000015) + 0.004400 * sin(2?? * 7.981900 * t + -0.000015) + 0.002900 * sin(2?? * 16.233500 * t + -0.000015) + 0.002700 * sin(2?? * 8.460100 * t + -0.000015)
78,7937097,280.96948,43.743561,14.326,0.32955722,-0.007225488,-0.03387092,-4.42E-06,-2.07E-05,0.001357794,0.006364931,0.999616723,f(t) = 0.996000 + 0.110800 * sin(2?? * 4.687700 * t + 2.028000) + 0.013200 * sin(2?? * 2.346700 * t + 0.409085)
79,7948091,287.0054,43.754539,14.842,0.212486231,-0.001255444,-0.008430306,-9.08E-05,-0.000609722,0.000600987,0.004035628,0.999967683,f(t) = 0.993600 + 0.050600 * sin(2?? * 6.715000 * t + -0.000015) + 0.008900 * sin(2?? * 3.357800 * t + -0.000015) + 0.006600 * sin(2?? * 13.432100 * t + -0.000015)
80,7984934,299.14761,43.709431,14.103,0.195786007,-0.00994495,-0.068509766,1.05E-06,7.25E-06,0.000319559,0.00220141,0.999964866,f(t) = 0.996400 + 0.026200 * sin(2?? * 6.888900 * t + -0.698685) + 0.004200 * sin(2?? * 13.777300 * t + -0.000015) + 0.004000 * sin(2?? * 3.444000 * t + -0.000015)
81,8052082,298.6944,43.877708,14.585,0.378527556,-0.000895878,-0.016450649,2.09E-05,0.000384355,0.001294417,0.023768862,0.999462811,f(t) = 1.000000 + 0.001400 * sin(2?? * 18.362600 * t + -0.000015) + 0.001200 * sin(2?? * 20.647300 * t + -3.096785)
82,8087649,287.9899,43.966339,14.448,0.144721736,0.002329314,0.009707183,1.36E-06,5.65E-06,0.000636121,0.002650971,0.999985764,f(t) = 0.992700 + 0.056600 * sin(2?? * 4.167400 * t + -0.746385) + 0.021000 * sin(2?? * 2.083300 * t + -0.000015)
83,8090059,289.11871,43.99369,14.027,0.129852921,-0.000208022,-0.003819367,1.76E-07,3.23E-06,0.000347147,0.006373758,0.999986842,f(t) = 1.000000 + 0.007900 * sin(2?? * 18.360400 * t + 2.025085)
